experiment,config_name,dataset,condition,condition_value,model,seed,n_train,n_test,treated_fraction_train,fit_seconds,pehe,abs_ate_error,cate_mae,cate_bias,ate_true,ate_hat,policy_value,policy_regret,optimal_policy_value,pehe_tau_q1,pehe_tau_q2,pehe_tau_q3,pehe_tau_q4,diag_treated_fraction,diag_ps_min,diag_ps_max,diag_ps_frac_below_0.1,diag_ps_frac_above_0.9,diag_ps_ks_treated_vs_control,diag_smd_mean,diag_smd_max,diag_smd_frac_above_0.1,diag_true_ps_min,diag_true_ps_max,error
treatment_imbalance,treatment_imbalance,synthetic,treated_fraction,0.25,t_learner,0,2000,2000,0.247,1.835120439529419,0.9575600474349831,0.10849399080624178,0.7529546994837056,-0.10849399080624184,0.988634815670337,0.8801408248640952,0.8311814393481091,0.1434598104280328,0.9746412497761419,0.8980349743814691,0.9334809264300341,0.917016991223296,1.0718728284463235,0.247,0.007676085637586193,0.8724039045953162,0.1935,0.0,0.3633643563398229,0.11721737912236241,0.6095138029681287,0.3,0.00830925166248445,0.8714167552915396,
treatment_imbalance,treatment_imbalance,synthetic,treated_fraction,0.25,t_learner,1,2000,2000,0.2585,1.825824499130249,1.0427022844936413,0.25446768734960634,0.8127426630394897,-0.2544676873496063,0.9947717733296532,0.7403040859800468,0.886259875325617,0.1776393754562393,1.0638992507818563,0.9916478176750815,0.9855021426352875,0.9465207126846062,1.2241041170478781,0.2585,0.015601700059162314,0.855766272749191,0.1605,0.0,0.35615505712060996,0.09882759774961405,0.540169156966987,0.15,0.01342655627743356,0.8656000846868334,
treatment_imbalance,treatment_imbalance,synthetic,treated_fraction,0.25,t_learner,2,2000,2000,0.264,1.8234128952026367,0.9451210007109924,0.03566875539461489,0.7435542564115597,-0.035668755394615045,0.9804604494287746,0.9447916940341597,0.8150898816355526,0.12255657286332589,0.9376464544988785,0.889428990431078,0.8672565968241698,0.896031660254301,1.107666084164097,0.264,0.005495570408167527,0.9382609019051216,0.2155,0.002,0.3797348484848485,0.11770383827915369,0.6220951728755048,0.2,0.010647474444223407,0.8841230581137303,
treatment_imbalance,treatment_imbalance,synthetic,treated_fraction,0.25,t_learner,3,2000,2000,0.261,1.8103883266448975,0.994905722384768,0.2406797468902533,0.7968428585928886,-0.2406797468902533,1.0087926713972664,0.7681129245070131,0.7499779622369221,0.1525404537903936,0.9025184160273158,1.0136374515710709,1.0220099157520157,0.928073961196302,1.0129477563834652,0.261,0.011383579394509177,0.8712998230529329,0.177,0.0,0.3707920509749636,0.10972742711844441,0.6130772123918963,0.15,0.007757703126997202,0.8638417975530128,
treatment_imbalance,treatment_imbalance,synthetic,treated_fraction,0.25,t_learner,4,2000,2000,0.241,1.7955870628356934,1.0050112790664392,0.22809173991355303,0.7857414433018165,-0.22809173991355294,0.9903193784566898,0.7622276385431368,0.7525331314543092,0.16980245223023993,0.9223355836845492,0.909622752436452,0.9712634936410296,0.9309573015801406,1.1843744597920955,0.241,0.004038062657624902,0.9334360499220279,0.2115,0.001,0.3916651632689879,0.1158707762771621,0.5905750833971293,0.2,0.0046761931597566414,0.9193722252316605,
treatment_imbalance,treatment_imbalance,synthetic,treated_fraction,0.25,t_learner,5,2000,2000,0.25,1.8104023933410645,0.9986439206728001,0.10496446784089764,0.7972588932723305,-0.10496446784089773,0.9664879542782492,0.8615234864373515,0.8235765943282614,0.15669181586926917,0.9802684101975305,0.8779578263381089,0.9437023907717932,1.039651187254308,1.1166467583130038,0.25,0.0023515172695018926,0.8928848657753,0.244,0.0,0.414,0.12448441729455273,0.6269412414330784,0.25,0.0076609763848174426,0.7864455805500425,
treatment_imbalance,treatment_imbalance,synthetic,treated_fraction,0.25,t_learner,6,2000,2000,0.2515,1.8178911209106445,0.9443708782949308,0.09024817186327827,0.7442847808552698,-0.09024817186327842,1.003619649399195,0.9133714775359166,0.9035881753295378,0.13234530270117228,1.0359334780307101,0.8820647088781425,0.9489813183344893,0.8539785761067659,1.0767833214907578,0.2515,0.010261920294554165,0.8883642991486893,0.1785,0.0,0.3522180211981285,0.10721743827948457,0.572013174066926,0.2,0.007211604243077523,0.8541976925318047,
treatment_imbalance,treatment_imbalance,synthetic,treated_fraction,0.25,t_learner,7,2000,2000,0.253,1.78580904006958,1.0004408972825223,0.23044000551131105,0.7843516587400554,-0.23044000551131108,0.9985860310672204,0.7681460255559094,0.8463359633183883,0.1559149012139297,1.002250864532318,0.947282475088066,0.9227978906317968,0.9392936520370901,1.1714757174185015,0.253,0.009580141604873665,0.8782452370217938,0.186,0.0,0.3727426173733141,0.11543796983965797,0.5450860949766734,0.25,0.008156682194352931,0.8831733195947208,
treatment_imbalance,treatment_imbalance,synthetic,treated_fraction,0.25,t_learner,8,2000,2000,0.26,1.8003926277160645,0.9854904993832465,0.014580422124128467,0.7777704421268635,-0.014580422124128514,1.0063284488837538,0.9917480267596254,0.922005220229639,0.11995527673596895,1.041960496965608,0.9717623520056147,0.9723877946750021,0.9055594492678929,1.0839133218720924,0.26,0.009788858143715799,0.8772901300985394,0.1645,0.0,0.3567047817047817,0.1076863130594736,0.5320185946756109,0.15,0.00789938071867933,0.8828770641387084,
treatment_imbalance,treatment_imbalance,synthetic,treated_fraction,0.25,t_learner,9,2000,2000,0.251,1.7787530422210693,0.9116412768383259,0.0345753208230708,0.7182003314637635,-0.03457532082307095,1.000148146210073,0.9655728253870022,0.8160908116060729,0.09117988839903701,0.9072707000051099,0.8356551878550632,0.8946194073600593,0.8752972708205656,1.0293446853320694,0.251,0.01238291151515844,0.8885271151393115,0.175,0.0,0.352286448332172,0.10675103238494921,0.5475588710171377,0.15,0.009878332084039482,0.8824606855516397,
