experiment,config_name,dataset,condition,condition_value,model,seed,n_train,n_test,treated_fraction_train,fit_seconds,pehe,abs_ate_error,cate_mae,cate_bias,ate_true,ate_hat,policy_value,policy_regret,optimal_policy_value,pehe_tau_q1,pehe_tau_q2,pehe_tau_q3,pehe_tau_q4,diag_treated_fraction,diag_ps_min,diag_ps_max,diag_ps_frac_below_0.1,diag_ps_frac_above_0.9,diag_ps_ks_treated_vs_control,diag_smd_mean,diag_smd_max,diag_smd_frac_above_0.1,diag_true_ps_min,diag_true_ps_max,error
confounding,confounding,synthetic,confounding_strength,0.0,x_learner,0,2000,2000,0.5,3.6405484676361084,0.42647584460332877,0.04735230766292131,0.3296460231157662,0.04735230766292112,0.988634815670337,1.0359871233332583,0.9504484653886539,0.024192784387487953,0.9746412497761419,0.43397176395437387,0.4079884247853819,0.40376042945798135,0.4579498368335432,0.5,0.30161096242148194,0.6755440672048536,0.0,0.0,0.096,0.03617392029560568,0.12084866904148066,0.1,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,x_learner,1,2000,2000,0.495,3.7820303440093994,0.42208101790999986,0.0017327123871428984,0.32181271699648717,0.0017327123871429002,0.9947717733296532,0.9965044857167961,1.0448418149688519,0.019057435813004453,1.0638992507818563,0.40025409988911037,0.3560592552819144,0.3851110779743833,0.5266094023004351,0.495,0.2615105049613446,0.6718587160923126,0.0,0.0,0.11812181218121812,0.04292046311676366,0.10668488565857716,0.05,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,x_learner,2,2000,2000,0.5035,3.5898027420043945,0.4122537042228647,0.030984496661128902,0.31512675317857225,0.03098449666112881,0.9804604494287746,1.0114449460899035,0.9279407069085341,0.009705747590344371,0.9376464544988785,0.4327061933448596,0.34517588164889595,0.3624360371750421,0.49200766915532207,0.5035,0.2929037483019912,0.7107596090634787,0.0,0.0,0.12976335840456182,0.05200336617670166,0.1300180432092643,0.1,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,x_learner,3,2000,2000,0.5,3.5490334033966064,0.3922693469892152,0.044078532752991895,0.30486898140032465,-0.04407853275299197,1.0087926713972664,0.9647141386442745,0.8783473445955066,0.024171071431809188,0.9025184160273158,0.39790980733620274,0.3785009708881545,0.362742458039423,0.4269937607826244,0.5,0.3339531679415336,0.674103785436549,0.0,0.0,0.108,0.04397804774632658,0.08348393134626104,0.0,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,x_learner,4,2000,2000,0.4745,3.5916717052459717,0.416114723577401,0.06547208326583598,0.32068166533333686,-0.06547208326583598,0.9903193784566898,0.9248472951908538,0.9022600151434049,0.02007556854114423,0.9223355836845492,0.3876848208370499,0.3832727661535213,0.3746633130351302,0.5050106147346806,0.4745,0.2989067005510385,0.646543204391403,0.0,0.0,0.09182884683060641,0.040307352301775956,0.09620872186074654,0.0,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,x_learner,5,2000,2000,0.5075,3.6357243061065674,0.42521441068319915,0.052576302405679565,0.32543095159280916,0.05257630240567953,0.9664879542782492,1.0190642566839287,0.9637880719545494,0.01648033824298112,0.9802684101975305,0.4159877158103676,0.3798106199360137,0.4046327772540628,0.4921377947902388,0.5075,0.32807189819113414,0.6704747301170138,0.0,0.0,0.09521642369533145,0.035002717603518106,0.14606359355552034,0.05,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,x_learner,6,2000,2000,0.489,3.8778741359710693,0.38182858345466947,0.05007718760614799,0.29005818776029074,-0.050077187606148044,1.003619649399195,0.9535424617930469,1.017194294778079,0.01873918325263113,1.0359334780307101,0.34022653005688636,0.34570346462608587,0.36287529558573467,0.46500409806423715,0.489,0.347036171468478,0.6192937795864211,0.0,0.0,0.09889186366201241,0.02776811845669277,0.09743066258171393,0.0,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,x_learner,7,2000,2000,0.4925,3.7634544372558594,0.45424487893924664,0.10393695048481333,0.34965314804974196,-0.10393695048481336,0.9985860310672204,0.8946490805824071,0.980825413254084,0.02142545127823403,1.002250864532318,0.38280619616135336,0.3745301495853852,0.4515826604703654,0.5784577116476662,0.4925,0.2613921765664383,0.6923932826880763,0.0,0.0,0.11139006276412193,0.041775178257900794,0.11379574324848574,0.1,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,x_learner,8,2000,2000,0.493,3.5371060371398926,0.4306738626134233,0.030368360771643843,0.33505405604399713,-0.03036836077164386,1.0063284488837538,0.97596008811211,1.0258101921364504,0.01615030482915758,1.041960496965608,0.42619460813095267,0.3618854183488469,0.40251366630965385,0.5170103985163234,0.493,0.3201051481548517,0.6428530196688977,0.0,0.0,0.087255101999992,0.0355156250203149,0.0810216864786433,0.0,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,x_learner,9,2000,2000,0.497,3.6957032680511475,0.4617041562551156,0.12858649498481367,0.34970833330544676,-0.12858649498481378,1.000148146210073,0.8715616512252593,0.8842581246122597,0.023012575392850176,0.9072707000051099,0.3889571723123779,0.3820981783731048,0.4339814963578146,0.6058516919368464,0.497,0.34894679724308725,0.6455766442257557,0.0,0.0,0.08948522146797284,0.03447847881826681,0.08078551820768623,0.0,0.5,0.5,
