experiment,config_name,dataset,condition,condition_value,model,seed,n_train,n_test,treated_fraction_train,fit_seconds,selected_config,selected_index,val_mse_selected,n_configs_evaluated,tuning_seconds,refit_seconds,pehe,abs_ate_error,cate_mae,cate_bias,ate_true,ate_hat,policy_value,policy_regret,optimal_policy_value,pehe_tau_q1,pehe_tau_q2,pehe_tau_q3,pehe_tau_q4,diag_treated_fraction,diag_ps_min,diag_ps_max,diag_ps_frac_below_0.1,diag_ps_frac_above_0.9,diag_ps_ks_treated_vs_control,diag_smd_mean,diag_smd_max,diag_smd_frac_above_0.1,error,diag_true_ps_min,diag_true_ps_max
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,20,672,75,0.18303571428571427,1.503223180770874,"{'base_learner': 'gbm', 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1}",4,0.12839965297654568,6,1.2070207595825195,0.29374241828918457,2.9511172610383114,0.8659859051308771,2.077096618269665,-0.8659859051308768,4.722805469184018,3.856819564053141,20.1909197426441,0.23975654641647992,20.430676289060578,4.080487448680782,2.2945355485635455,2.6917806375790447,2.3439591467455116,0.18303571428571427,0.017580336562783787,0.5613705514801535,0.2961309523809524,0.0,0.38104758096761293,0.16879439172196012,0.3655902985857423,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,21,672,75,0.1800595238095238,1.2471692562103271,"{'base_learner': 'gbm', 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05}",2,0.2619798312817446,6,1.0946407318115234,0.14937233924865723,0.4498207252369171,0.14747419934302242,0.35883454891513833,-0.1474741993430212,4.107409742058923,3.959935542715901,7.276592063734127,0.0,7.276592063734127,0.5818076738092615,0.4561007311362839,0.33821742408902417,0.38566189644493626,0.1800595238095238,0.013549389161361159,0.5467422714251008,0.34077380952380953,0.0,0.40477868938518996,0.1803477417451047,0.37690713236920903,0.68,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,22,672,75,0.18452380952380953,1.6486234664916992,"{'base_learner': 'gbm', 'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05}",5,0.19794899911390007,6,1.1545662879943848,0.4913976192474365,1.2476510752680583,0.09049655222825592,0.9324541362372127,0.09049655222825498,4.623469641373431,4.713966193601687,11.082885124972568,0.05570897962124377,11.138594104593812,2.0219756765774544,0.8554828702199748,0.8784352392992418,0.7689201402322638,0.18452380952380953,0.013873625193160872,0.6040224336782075,0.30357142857142855,0.0,0.37962090887685424,0.18474807861552772,0.3733718584533806,0.68,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,23,672,75,0.18452380952380953,1.256650686264038,"{'base_learner': 'gbm', 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1}",4,0.12522869538737322,6,1.0271172523498535,0.22785043716430664,4.016821898438914,0.8878296962442485,2.2875991989043456,0.8878296962442486,2.019971662565434,2.9078013588096825,16.493960759229626,0.2921370924144533,16.78609785164408,7.5086558613857655,1.3591362450975617,1.4900422455139406,1.8275840000776398,0.18452380952380953,0.013045008086306197,0.5695740534206457,0.29464285714285715,0.0,0.4062279255945373,0.18043539779170265,0.3958742653850422,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,24,672,75,0.18452380952380953,1.496976375579834,"{'base_learner': 'gbm', 'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05}",5,0.12963486569205773,6,1.0301480293273926,0.4646596908569336,2.6159341704876757,0.5729593971386802,1.1321360426238527,0.5729593971386805,4.015211833260161,4.588171230398841,10.474292629875107,0.23387151910533177,10.708164148980439,5.094749059304598,0.5076144750348041,0.4978970825864582,0.7508677250207958,0.18452380952380953,0.015405953425030691,0.5854415196335634,0.31398809523809523,0.0,0.39904638568401224,0.18415006753825558,0.40724298221597505,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,25,672,75,0.17857142857142858,1.5652580261230469,"{'base_learner': 'gbm', 'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05}",5,0.11493743671739488,6,1.0464105606079102,0.5163462162017822,8.065586956803811,1.774007908505606,5.305858112315137,1.7740079085056057,2.3657951812226976,4.139803089728304,35.97973265884307,0.5360911502977217,36.51582380914079,14.183349913284216,5.10122093077475,4.14926884683307,3.7086647782891218,0.17857142857142858,0.013645521759281732,0.5734559729128814,0.34523809523809523,0.0,0.3789855072463768,0.1943690908045554,0.4049938513041168,0.68,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,26,672,75,0.18154761904761904,1.2121222019195557,"{'base_learner': 'gbm', 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05}",2,0.23837494390009864,6,1.0877676010131836,0.12303996086120605,0.8205941409724464,0.09828598765275709,0.6036118206237517,-0.0982859876527562,4.069120522463573,3.9708345348108156,8.988753331461467,0.029943487235994937,9.018696818697462,1.1436993584749244,0.5562358567288651,0.535291063912711,0.877701116174419,0.18154761904761904,0.012761059669307876,0.5588221332571895,0.2857142857142857,0.0,0.3951117734724292,0.1739283739874525,0.3824062815161629,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,27,672,75,0.18601190476190477,1.513657569885254,"{'base_learner': 'gbm', 'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05}",5,0.11954844980549018,6,1.037398099899292,0.47390055656433105,37.371055277730214,7.389756948933721,20.9405062926815,7.389756948933723,-0.6684755489869564,6.721281399946765,80.92584702811729,1.9217625742210487,82.84760960233834,70.88664984557585,8.593270094220243,13.586158314128383,15.278071745869266,0.18601190476190477,0.016388737782577916,0.5971132113641607,0.31101190476190477,0.0,0.4133528336380256,0.18391883189618366,0.37453576081259893,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,28,672,75,0.18898809523809523,1.1770174503326416,"{'base_learner': 'gbm', 'n_estimators': 200, 'max_depth': 2, 'learning_rate': 0.05}",3,0.14642244085414516,6,0.9902670383453369,0.1853938102722168,1.3261952360527633,0.172440610923001,0.9940945402622168,-0.17244061092299987,3.7867168106442683,3.6142761997212673,9.985711710331314,0.0687810831004736,10.054492793431788,1.943341040661402,1.372391520394473,1.1225937710820888,0.6476706481683847,0.18898809523809523,0.015601823650282235,0.6162501837139163,0.3020833333333333,0.0,0.37058441089359245,0.18125370686711118,0.41108319496819673,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,29,672,75,0.1875,1.3467977046966553,"{'base_learner': 'gbm', 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1}",4,0.13476414357017394,6,1.110565185546875,0.2346343994140625,1.1907752282367576,0.2879806051813514,0.9096302615826416,-0.28798060518135093,5.052511980262755,4.764531375081404,11.344938263210697,0.02716936678371873,11.372107629994415,1.5223988166792268,1.1784930768684454,1.1560067517468,0.7920576453798841,0.1875,0.011679989991218618,0.5838689209700921,0.32589285714285715,0.0,0.39255189255189255,0.1859399703013082,0.40878972159479804,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,t_learner,0,672,75,0.18303571428571427,1.7500979900360107,"{'base_learner': 'gbm', 'n_estimators': 200, 'max_depth': 2, 'learning_rate': 0.05}",3,0.24960054861858752,6,1.4825844764709473,0.2659323215484619,0.5649655283466753,0.07421425364654066,0.4672443050306154,0.07421425364653998,4.05634575318767,4.1305600068342105,6.44088717118196,0.0,6.44088717118196,0.6437099283094999,0.5625507669191687,0.3984406714444315,0.622109385844379,0.18303571428571427,0.015537093975601997,0.5622980946615538,0.31547619047619047,0.0,0.3786485405837665,0.1840815109040787,0.37851628205057564,0.68,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,t_learner,1,672,75,0.19196428571428573,1.8686270713806152,"{'base_learner': 'gbm', 'n_estimators': 200, 'max_depth': 2, 'learning_rate': 0.05}",3,0.26808367982162556,6,1.597729206085205,0.2692990303039551,0.589741304889641,0.06551918195037043,0.46015709059442744,-0.06551918195036988,4.2142477603062325,4.148728578355862,8.238802977146783,0.0,8.238802977146783,0.5459433399172177,0.46089078091722124,0.6437672490373052,0.6776013135287555,0.19196428571428573,0.014780819396271709,0.5968684185640735,0.28273809523809523,0.0,0.36866675232344,0.17594519971689987,0.38953028248571747,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,t_learner,2,672,75,0.18154761904761904,1.5540542602539062,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.2338279440389922,6,1.4865455627441406,0.06624579429626465,0.618850002140455,0.06108894805188747,0.40298867337020217,-0.061088948051886964,4.064009157208732,4.002920209156844,7.462933979593411,0.0290861138587859,7.492020093452197,1.03740983747377,0.3907408639586663,0.36042429242478174,0.40271045762260027,0.18154761904761904,0.01554288550564484,0.5701034846394465,0.3273809523809524,0.0,0.40321907600596124,0.178924329173562,0.42111588545858597,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,t_learner,3,672,75,0.19047619047619047,1.7773857116699219,"{'base_learner': 'gbm', 'n_estimators': 200, 'max_depth': 2, 'learning_rate': 0.05}",3,0.17572496429896814,6,1.5068883895874023,0.26853013038635254,0.8582627577296787,0.0028264419140127117,0.623706811554768,0.0028264419140122026,4.011240467092333,4.014066909006345,12.359729999230659,0.09954220331764319,12.459272202548302,1.2555341546987455,0.734977531131808,0.4502462764899927,0.7853929581674324,0.19047619047619047,0.0165943188066821,0.5727596596424224,0.27827380952380953,0.0,0.36672794117647056,0.17660289427310588,0.3762902074312649,0.68,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,t_learner,4,672,75,0.18601190476190477,1.6071751117706299,"{'base_learner': 'gbm', 'n_estimators': 100, 'max_depth': 2, 'learning_rate': 0.1}",1,0.16075919302456945,6,1.4747390747070312,0.1306290626525879,1.302941272094007,0.014895105760809102,0.8743698767387086,-0.014895105760809374,4.163696052943034,4.148800947182225,11.267101011514551,0.11492180213608627,11.382022813650638,1.8584973347868188,0.9655244929303031,1.3242583917963604,0.7812992233578968,0.18601190476190477,0.014909819501311839,0.5517940105889383,0.30952380952380953,0.0,0.39072760511883,0.17852572689103735,0.37453576081259893,0.68,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,t_learner,5,672,75,0.19345238095238096,1.5785527229309082,"{'base_learner': 'gbm', 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05}",2,0.23117172607787156,6,1.4266598224639893,0.15035462379455566,0.6893979767741777,0.0028622746540887256,0.519060935210095,0.0028622746540885955,3.9331437410854035,3.9360060157394923,6.383491605800797,0.0,6.383491605800797,0.897643156498194,0.6615262134043547,0.649754406174332,0.4832552202389563,0.19345238095238096,0.016859497504150667,0.5992615257193149,0.27976190476190477,0.0,0.3971898949758728,0.17606695196495736,0.40839385268331657,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,t_learner,6,672,75,0.18452380952380953,1.6179258823394775,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.2553777174843817,6,1.542715311050415,0.0735175609588623,0.44771787620799586,0.1594439067237241,0.35731823347901037,-0.15944390672372408,4.016693170673207,3.857249263949483,5.467977141813069,0.0,5.467977141813069,0.5402256768854278,0.4165051932786113,0.48118438210902986,0.32175564794638256,0.18452380952380953,0.0122836648095902,0.5601753357873364,0.2916666666666667,0.0,0.3874499646809513,0.1707833552677563,0.40026893257586565,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,t_learner,7,672,75,0.18898809523809523,2.1365768909454346,"{'base_learner': 'gbm', 'n_estimators': 200, 'max_depth': 2, 'learning_rate': 0.05}",3,0.20196134567693796,6,1.8381633758544922,0.2968099117279053,0.9214017177967192,0.19240980041023992,0.6373163324373372,-0.19240980041024008,3.5578866081987015,3.3654768077884616,8.481528707266321,0.031232598487234142,8.512761305753555,1.357704779345469,0.844828430783547,0.47212175968977305,0.8174741895248837,0.18898809523809523,0.013495985011059728,0.5932627568172648,0.3020833333333333,0.0,0.4084230296900961,0.18544552237956252,0.43473334556619453,0.68,,,
