experiment,condition,condition_value,model,metric,mean,std,sem,median,iqr,n,ci_low,ci_high
confounding,confounding_strength,1.0,neural_rep,abs_ate_error,0.09554068746878062,0.05607398286129396,0.010237661767429594,0.092334095910862,0.09025286914204206,30,0.07601659703064607,0.11578248986076949
confounding,confounding_strength,1.0,neural_rep,policy_regret,0.013907920784372552,0.006492106749578852,0.0011852911041586266,0.012719843373176498,0.006898686041507757,30,0.011755808082397172,0.016338366174430703
confounding,confounding_strength,1.0,neural_rep,policy_value,0.9645968164679403,0.06136244618514063,0.01120319865309945,0.9701329525963776,0.08620601149080254,30,0.9428809863383952,0.985322658440181
confounding,confounding_strength,2.0,s_learner,pehe,0.6880017812471331,0.044177023690887274,0.008065584132979697,0.6830505994917387,0.04906873286604663,30,0.6728261060301228,0.7034610301061676
confounding,confounding_strength,2.0,s_learner,abs_ate_error,0.5061627939955403,0.04768711518402254,0.008706436229545422,0.505106221244396,0.06720764331145146,30,0.48962706925926675,0.5228978360549972
confounding,confounding_strength,2.0,s_learner,policy_regret,0.009573397860524113,0.004954368646199922,0.0009045398219066763,0.009328487182436507,0.0032147394331308032,30,0.008156682704845377,0.0115589254242427
confounding,confounding_strength,2.0,s_learner,policy_value,0.9689313393917887,0.06336971833959687,0.011569674732448675,0.9757686853413575,0.09853594301339563,30,0.9465961107377111,0.9905283195010866
confounding,confounding_strength,2.0,t_learner,pehe,0.953497010108223,0.04082787971655151,0.0074541168986209634,0.9550839473219765,0.044927022170295317,30,0.9391379733265451,0.9681813982336811
confounding,confounding_strength,2.0,t_learner,abs_ate_error,0.2537854731747295,0.07514244209678808,0.013719070187478874,0.2566186362630396,0.10739437442613606,30,0.22732001964076928,0.28035289585947776
confounding,confounding_strength,2.0,t_learner,policy_regret,0.15216507679757682,0.02061883441343957,0.003764466905901551,0.15351925201924588,0.025572246034810953,30,0.14515312595368543,0.15957812965635065
confounding,confounding_strength,2.0,t_learner,policy_value,0.8263396604547358,0.062094778499978714,0.011336903629241715,0.8384020918212389,0.1027281729889975,30,0.8044501372845838,0.8476542200861259
confounding,confounding_strength,2.0,x_learner,pehe,0.5804557056396703,0.03766571464779587,0.00687678718571685,0.5834874750825461,0.03764302856382429,30,0.5669745937640722,0.5936263550299146
confounding,confounding_strength,2.0,x_learner,abs_ate_error,0.09187302960097021,0.05987139718274637,0.010930971595447148,0.08663491590994565,0.08197657402702416,30,0.07121009150424623,0.1131299483851384
confounding,confounding_strength,2.0,x_learner,policy_regret,0.04044933350777054,0.01046333016617541,0.00191033398621285,0.03728410625792106,0.016136987392705027,30,0.03686861569032428,0.044213175905880184
confounding,confounding_strength,2.0,x_learner,policy_value,0.9380554037445419,0.06291586078473345,0.011486812058884396,0.9445914761860669,0.08924838364963938,30,0.9155984562965612,0.9596162057311498
confounding,confounding_strength,2.0,neural_rep,pehe,0.537575628954507,0.03403224551501303,0.0062134095170422185,0.5442011475711521,0.04234896026764445,30,0.5259743839934832,0.5496229009247587
confounding,confounding_strength,2.0,neural_rep,abs_ate_error,0.1661139905699987,0.06752350592723431,0.012328049119393341,0.16675397175581796,0.09414143686421064,30,0.14281820047088084,0.1902717705043553
confounding,confounding_strength,2.0,neural_rep,policy_regret,0.01640919363048535,0.009645660670673658,0.0017610486437894572,0.013672154653668889,0.011546702212263865,30,0.013403220432865843,0.02008433299097659
confounding,confounding_strength,2.0,neural_rep,policy_value,0.9620955436218271,0.06392591587047071,0.011671222043811434,0.9671856454010304,0.08500154569302998,30,0.9395331906271766,0.9838289607537576
confounding,confounding_strength,3.0,s_learner,pehe,0.7708816622949094,0.04080840099345874,0.007450560586611194,0.7656156163305738,0.04098857119432919,30,0.7561566577634294,0.7848943852151773
confounding,confounding_strength,3.0,s_learner,abs_ate_error,0.5974467903570477,0.045076292694256566,0.008229767439116548,0.5974512173649695,0.056034830834659544,30,0.5813552042221551,0.6130418050810825
confounding,confounding_strength,3.0,s_learner,policy_regret,0.010942437513100462,0.005880286959126329,0.001073588604038983,0.009305021727487817,0.003591814479733474,30,0.009091057666224369,0.013213727036705336
confounding,confounding_strength,3.0,s_learner,policy_value,0.9675622997392123,0.06408673644122642,0.011700583728582688,0.9702510071368278,0.09972442381227187,30,0.9449158969809597,0.98926815495256
confounding,confounding_strength,3.0,t_learner,pehe,1.0048222036743242,0.03699485464962241,0.006754305467741024,0.9993953987779749,0.05164470108901775,30,0.9915529758642389,1.017877909535671
confounding,confounding_strength,3.0,t_learner,abs_ate_error,0.35334113623072383,0.09941305432238137,0.01815025745428491,0.37139856333386917,0.122214758869367,30,0.3173822139554961,0.3868195375513335
confounding,confounding_strength,3.0,t_learner,policy_regret,0.18255547675394357,0.023795900159534342,0.004344517097839247,0.17941196677769372,0.037908536889770694,30,0.17423984767507666,0.19095599067099006
confounding,confounding_strength,3.0,t_learner,policy_value,0.795949260498369,0.0609102089266622,0.011120631803828473,0.815205244549143,0.08080858110499722,30,0.7746868554799067,0.8167965135924743
confounding,confounding_strength,3.0,x_learner,pehe,0.6275500877596394,0.025001635712165626,0.004564653284693284,0.6270906555605398,0.027307093033622776,30,0.6188423330905898,0.6365481901924599
confounding,confounding_strength,3.0,x_learner,abs_ate_error,0.105322882870067,0.058435641763059196,0.010668839718639493,0.0992635052590361,0.09218616403129126,30,0.08529893961276774,0.1261325049690716
confounding,confounding_strength,3.0,x_learner,policy_regret,0.04729486943299411,0.011151263687662255,0.0020359328888069532,0.04664218633971062,0.01572472949819706,30,0.043407523742889156,0.051308492912319675
confounding,confounding_strength,3.0,x_learner,policy_value,0.9312098678193187,0.06616610200453797,0.012080222203357745,0.9395812737455773,0.09086454393061816,30,0.9076962945344361,0.9539208764672419
confounding,confounding_strength,3.0,neural_rep,pehe,0.5581335141966036,0.04130208578880456,0.007540694686180603,0.5544805666858181,0.04530063585892696,30,0.5437193414339836,0.5726957411361328
confounding,confounding_strength,3.0,neural_rep,abs_ate_error,0.19084661374001557,0.09164514162129897,0.016732037117247005,0.18572429529547346,0.10894876365741071,30,0.1590410144078862,0.22421889150410845
confounding,confounding_strength,3.0,neural_rep,policy_regret,0.020827454997204224,0.015728890263270384,0.00287168933390552,0.015796218423777708,0.015806976863756872,30,0.0158423104358352,0.026722692302503483
confounding,confounding_strength,3.0,neural_rep,policy_value,0.9576772822551083,0.06688310527915806,0.012211128492462576,0.9636698138454417,0.0904951229954607,30,0.9339260934106521,0.9804240228682457
