condition,condition_value,metric,reference,comparison,n_pairs,mean_diff,median_diff,statistic,p_value,reject_h0_holm_0.05,experiment,favors
train_fraction,0.25,pehe,neural_rep,x_learner,30,-1.4714744696999111,-0.2980497276655515,96.0,0.004031794145703316,True,sample_size,NeuralRep
train_fraction,0.5,pehe,neural_rep,s_learner,30,-1.8458575810542412,-0.21556223964756605,106.0,0.008142979815602303,True,sample_size,NeuralRep
train_fraction,0.5,pehe,neural_rep,t_learner,30,-0.6740907107756704,-0.1153780309499231,102.0,0.0061949919909238815,True,sample_size,NeuralRep
train_fraction,0.5,pehe,neural_rep,x_learner,30,-1.5460115075195644,-0.30782704307832665,27.0,2.348795533180237e-06,True,sample_size,NeuralRep
train_fraction,0.75,pehe,neural_rep,s_learner,30,-1.830670407336572,-0.3653210100585126,90.0,0.002560090273618698,True,sample_size,NeuralRep
train_fraction,0.75,pehe,neural_rep,t_learner,30,-0.5114301001406503,-0.10964745947588261,73.0,0.0006084088236093521,True,sample_size,NeuralRep
train_fraction,0.75,pehe,neural_rep,x_learner,30,-1.4872167661348459,-0.28790886237807944,31.0,4.421919584274292e-06,True,sample_size,NeuralRep
train_fraction,1.0,pehe,neural_rep,s_learner,30,-2.0324935697680977,-0.3895685730975685,99.0,0.0050126127898693085,True,sample_size,NeuralRep
train_fraction,1.0,pehe,neural_rep,t_learner,30,-0.7475222288252626,-0.19923400388851892,31.0,4.421919584274292e-06,True,sample_size,NeuralRep
train_fraction,1.0,pehe,neural_rep,x_learner,30,-1.7422277896974239,-0.3853361704363777,15.0,2.551823854446411e-07,True,sample_size,NeuralRep
train_fraction,0.25,abs_ate_error,neural_rep,s_learner,30,-0.2813630874855209,0.0008779704205829908,228.0,0.935398668050766,False,sample_size,NeuralRep
train_fraction,0.25,abs_ate_error,neural_rep,t_learner,30,-0.08378306547646878,-0.00964674823256595,230.0,0.9676735773682594,False,sample_size,NeuralRep
train_fraction,0.25,abs_ate_error,neural_rep,x_learner,30,-0.1952131805491014,-0.04680152711954255,207.0,0.6120056137442589,False,sample_size,NeuralRep
train_fraction,0.5,abs_ate_error,neural_rep,s_learner,30,-0.6871163180970669,-0.006508939934599486,196.0,0.46454504504799843,False,sample_size,NeuralRep
train_fraction,0.5,abs_ate_error,neural_rep,t_learner,30,-0.1823685814795251,-0.014802952096764545,205.0,0.583757072687149,False,sample_size,NeuralRep
train_fraction,0.5,abs_ate_error,neural_rep,x_learner,30,-0.2098564099706438,-0.0695668889110355,150.0,0.09194962680339813,False,sample_size,NeuralRep
train_fraction,0.75,abs_ate_error,neural_rep,s_learner,30,-0.4554303362168187,0.0132196730535295,213.0,0.7000329215079546,False,sample_size,NeuralRep
train_fraction,0.75,abs_ate_error,neural_rep,t_learner,30,-0.040853080818460875,-0.015884294411168547,214.0,0.7151329666376114,False,sample_size,NeuralRep
train_fraction,0.75,abs_ate_error,neural_rep,x_learner,30,-0.19988203753862593,-0.004821170215516549,193.0,0.42795460671186447,False,sample_size,NeuralRep
train_fraction,1.0,abs_ate_error,neural_rep,s_learner,30,-0.4654434835263907,0.006357780935017249,195.0,0.4521643426269293,False,sample_size,NeuralRep
